index,type,a1,a2,a3,a4,a5,a6,a7,a8,mod_factor,a1_mod,a2_mod,a3_mod,a4_mod,a5_mod,a6_mod,a7_mod,a8_mod,norm_orig,norm_mod,proj_x,proj_y,dot_u
53,integer,0.00000000,0.00000000,-1.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.88787897,0.00000000,0.00000000,-0.88787897,-0.88787897,0.00000000,0.00000000,0.00000000,0.00000000,1.41421356,1.25565048,-0.62782524,-0.62782524,-0.70710678
54,integer,0.00000000,0.00000000,-1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,-1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.41421356,1.41421356,0.00000000,0.00000000,0.00000000
55,integer,0.00000000,0.00000000,1.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.41421356,1.41421356,0.00000000,0.00000000,0.00000000
56,integer,0.00000000,0.00000000,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.11212103,0.00000000,0.00000000,1.11212103,1.11212103,0.00000000,0.00000000,0.00000000,0.00000000,1.41421356,1.57277664,0.78638832,0.78638832,0.70710678
57,integer,0.00000000,0.00000000,-1.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,0.88787897,0.00000000,0.00000000,-0.88787897,0.00000000,-0.88787897,0.00000000,0.00000000,0.00000000,1.41421356,1.25565048,-0.62782524,-0.00000000,-0.70710678
58,integer,0.00000000,0.00000000,-1.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.41421356,1.41421356,0.00000000,-0.70710678,0.00000000
59,integer,0.00000000,0.00000000,1.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.00000000,1.41421356,1.41421356,0.00000000,0.70710678,0.00000000
60,integer,0.00000000,0.00000000,1.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,1.11212103,0.00000000,0.00000000,1.11212103,0.00000000,1.11212103,0.00000000,0.00000000,0.00000000,1.41421356,1.57277664,0.78638832,0.00000000,0.70710678
61,integer,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,0.88787897,0.00000000,0.00000000,-0.88787897,0.00000000,0.00000000,-0.88787897,0.00000000,0.00000000,1.41421356,1.25565048,-0.62782524,-0.00000000,-0.70710678
62,integer,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.41421356,1.41421356,0.00000000,-0.70710678,0.00000000
63,integer,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,-1.00000000,0.00000000,0.00000000,1.41421356,1.41421356,0.00000000,0.70710678,0.00000000
64,integer,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,1.11212103,0.00000000,0.00000000,1.11212103,0.00000000,0.00000000,1.11212103,0.00000000,0.00000000,1.41421356,1.57277664,0.78638832,0.00000000,0.70710678
